Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,ISA_E,ISA_E_pred,Erro
2016,7,0.001420753681030632,0.001446734578716468,0.0014998852888697405,-0.001023963838581063,73.9,73.73856139032452,0.7699467073075579
2016,8,0.0013969889682470531,0.0014324399290772014,0.001465099627962954,-0.0009637180094328887,75.0,73.69299474956146,1.0775934595584415
2016,9,0.0013598458453217607,0.001430238366278091,0.0014337005481336717,-0.0008890564206678141,74.9,76.20876459463506,0.3384049935914741
2016,10,0.0014498234069028266,0.0015500231717748625,0.0015343873483134609,-0.0009148388191360826,74.4,78.70819692680894,1.0935075504648284
2016,11,0.0013377360156238598,0.0013685529630235048,0.0013458511028144194,-0.0007853965286094299,73.8,78.70793639800755,0.3402279367678461
2016,12,0.001300479736362794,0.0013609559801165706,0.0014192740029379497,-0.0009841375962679837,72.6,81.27698791250877,1.0463985443711938
2017,1,0.001288979365748124,0.0013391276051742131,0.001336267922834802,-0.0008171020668051612,74.8,79.90129632193647,0.9972779844113574
2017,2,0.0012570922462856202,0.0012832189268414044,0.0013042159142770042,-0.0008425853729824945,75.4,80.42561738560384,1.2425799206541586
2017,3,0.0013033733277943,0.0013711952859103995,0.0013978121100931427,-0.0009108478019471298,77.2,80.03837785904827,0.736692921770285
2017,4,0.0013245342547156527,0.0013932462216953935,0.0013566629993031186,-0.0007657440797853223,78.8,82.08360786658477,0.4249376244303059
2017,5,0.0014055493545465903,0.001696015100506102,0.001407110608094928,-0.0003186042789253381,80.4,85.9167432621235,0.658443304258713
2017,6,0.0013235552696970688,0.0014593840863081704,0.0013597024238844123,-0.0006480325750748817,81.0,84.21427193858486,0.6693971004745174
2017,7,0.0013417997871628172,0.0014247520741277261,0.001441494314305416,-0.0009190217595335244,81.3,85.82509596677627,1.296654878664675
2017,8,0.001420473419950863,0.0015334910025662798,0.001475197187544866,-0.0007975608950258777,82.3,86.40169173480331,0.4472975065135096
2017,9,0.0013714539628333282,0.0013988901127723059,0.0014990913348388187,-0.0011126439322148316,84.2,81.95376153484918,0.8845679979979905
2017,10,0.0013249876571331154,0.0013573000322570307,0.0013924322757139184,-0.0009236744997232296,86.5,87.74061593819613,0.24036026229590088
2017,11,0.0013553658018382092,0.0014219742319559758,0.0014140778608390534,-0.0008554515319787083,86.9,86.92351983708599,0.6071018638866499
2017,12,0.0012715675271491751,0.0014378398367917821,0.0012605472184125438,-0.0004399128370250943,87.2,89.64645745841042,0.233927569455175
2018,1,0.0013512019151387497,0.001505835047982649,0.0012843817604647483,-0.00037089181428827,88.1,89.07061871526673,0.8711510648690568
2018,2,0.001382097974326124,0.001469779576514555,0.0013451150817968497,-0.000591706775687289,88.9,86.44850429758026,0.41206247238170973
2018,3,0.001344218220502346,0.0014094825697254438,0.0013238771149306952,-0.00065265762157744,90.3,87.23602349584114,0.27874511408013636
2018,4,0.0013261882851359529,0.0013133250941884866,0.0013339476413525247,-0.0008601767070382217,90.2,87.58224519019709,0.6375080873800699
2018,5,0.001288519533381683,0.001265579480393097,0.0012852541803204842,-0.0008284077720339791,90.4,91.66706916886396,0.4925327669823641
2018,6,0.001323105104851335,0.0013245667547824706,0.0013401496098143766,-0.0008544431626956231,89.2,88.95122955290775,0.7639791707141269
2018,7,0.0014542320881432101,0.001432303988106208,0.0015237006849175942,-0.0011111057973899967,90.3,84.85187639372644,0.6492249973076266
2018,8,0.001394916675288727,0.001383499913256666,0.001329955570409423,-0.0007171604465212291,89.5,81.3751238180917,1.5109875767452952
2018,9,0.0013200536603822355,0.0012812066574857724,0.001363605443518074,-0.000995508749365207,88.8,86.40203807305951,0.8732173961659306
2018,10,0.001461475567421072,0.0014758566585760578,0.0015401270775985128,-0.0010698078858266849,88.1,82.79391232354399,1.2369439650548835
2018,11,0.0013858171385826797,0.0014509478815402388,0.0013541147209880607,-0.0006499915403877621,89.7,84.84496434368135,0.5636724533362976
